extracted_idx,gov_idx,gov_source,extraction_confidence,extraction_method,applied_offset_dx,applied_offset_dy,iou,centroid_dist_m,area_ratio,hausdorff_m,attribute_score,municipal_present,municipal_iou,municipal_attr_score,utility_present,utility_iou,revenue_present,revenue_attr_score,cross_source_support_count
8,13,cadastral,0.769,segformer,0.0,0.0,0.6805501545856514,0.3336665290367847,0.978929321408798,0.4946123781023873,0.0,1,0.5899328435777973,1.0,1,0.0,1,1.0,3
10,13,cadastral,0.877,segformer,0.0,0.0,0.0,8.52239301610962,0.28106453548101823,9.896458366117837,0.0,1,0.5899328435777973,1.0,1,0.0,1,1.0,3
20,14,cadastral,0.805,segformer,0.0,0.0,0.807500994717447,0.237831597972404,0.9862931367965442,0.3351708470706727,0.0,1,0.05636951542598117,0.9565217391304348,0,0.0,1,1.0,2
4,15,cadastral,0.821,segformer,0.0,0.0,0.0,7.500319005337919,0.9476264691952208,7.611063733787589,0.0,1,0.059962545470717304,0.96,1,0.6409440998762622,1,1.0,3
1,15,cadastral,0.802,segformer,0.0,0.0,0.8385867396073111,0.17092489690758306,0.9208489551520281,0.3003067512911209,0.0,1,0.059962545470717304,0.96,1,0.6409440998762622,1,1.0,3
7,16,cadastral,0.864,segformer,0.0,0.0,0.0,7.235213419214288,0.5726225780673602,7.357111898335612,0.0,1,0.02352522896479739,1.0,1,0.0,1,1.0,3
5,16,cadastral,0.732,segformer,0.0,0.0,0.0,6.919947023245008,0.8911311166471033,7.098941597072145,0.0,1,0.02352522896479739,1.0,1,0.0,1,1.0,3
3,16,cadastral,0.792,segformer,0.0,0.0,0.7790271180354493,0.2589367496553009,0.9988648785104105,0.39467740929205763,0.0,1,0.02352522896479739,1.0,1,0.0,1,1.0,3
0,16,cadastral,0.86,specialized,0.0,0.0,0.0,8.234611130065144,0.4696148938178913,8.960652042694655,0.0,1,0.02352522896479739,1.0,1,0.0,1,1.0,3
17,17,cadastral,0.84,segformer,0.0,0.0,0.0,8.345267544826392,0.8385246592276978,8.829539286562182,0.0,1,0.16810329980074445,0.9090909090909091,1,0.6925368637654506,1,1.0,3
15,17,cadastral,0.794,segformer,0.0,0.0,0.0,6.645969485666212,0.9037201485065617,6.900399089540235,0.0,1,0.16810329980074445,0.9090909090909091,1,0.6925368637654506,1,1.0,3
13,17,cadastral,0.771,segformer,0.0,0.0,0.8835459368090265,0.12966960872640182,0.9804136732450759,0.23167663984712863,0.0,1,0.16810329980074445,0.9090909090909091,1,0.6925368637654506,1,1.0,3
9,17,cadastral,0.827,specialized,0.0,0.0,0.0,9.445410943963616,0.601230880789614,9.936712080967583,0.0,1,0.16810329980074445,0.9090909090909091,1,0.6925368637654506,1,1.0,3
11,18,cadastral,0.769,segformer,0.0,0.0,0.0,6.922662410663867,0.5993625456403083,7.627430158944419,0.0,1,0.2749390919109474,1.0,1,0.0,1,1.0,3
8,18,cadastral,0.769,segformer,0.0,0.0,0.0,8.554487402724584,0.268233238018039,10.010549511899002,0.0,1,0.2749390919109474,1.0,1,0.0,1,1.0,3
10,18,cadastral,0.877,segformer,0.0,0.0,0.7972318403076973,0.37202977040568597,0.9748890788655631,0.44918836853670974,0.0,1,0.2749390919109474,1.0,1,0.0,1,1.0,3
6,19,cadastral,0.795,segformer,0.0,0.0,0.8832798302970537,0.08755553835836422,0.9554634514626169,0.18564388840905507,0.0,1,0.16010100610522515,0.30000000000000004,1,0.7397434379264337,1,1.0,3
4,19,cadastral,0.821,segformer,0.0,0.0,0.0,6.505403496278877,0.9343315583812947,6.931717542144941,0.0,1,0.16010100610522515,0.30000000000000004,1,0.7397434379264337,1,1.0,3
21,20,cadastral,0.889,segformer,0.0,0.0,0.0,7.290043376335012,0.9762737782155995,7.77304409119229,0.0,1,0.2808539191855218,0.9696969696969697,1,0.8204366347923361,1,1.0,3
18,20,cadastral,0.798,segformer,0.0,0.0,0.9502751230430929,0.05343440960316556,0.979991302911897,0.19709779885078305,0.0,1,0.2808539191855218,0.9696969696969697,1,0.8204366347923361,1,1.0,3
14,20,cadastral,0.797,segformer,0.0,0.0,0.0,10.1958239931346,0.7629290090821322,10.898848161074097,0.0,1,0.2808539191855218,0.9696969696969697,1,0.8204366347923361,1,1.0,3
